Company_Name,Year,Service_Area_Urban_Square_Kilometers,Service_Area_Rural_Square_Kilometers,Service_Area_Total_Square_Kilometers,Winter_Peak_Load_With_Embedded_Generation_kW,Summer_Peak_Load_With_Embedded_Generation_kW,Average_Peak_Load_With_Embedded_Generation_kW,Average_Load_Factor_With_Embedded_Generation_Percentage,Winter_Peak_Load_Without_Embedded_Generation_kW,Summer_Peak_Load_Without_Embedded_Generation_kW,Average_Peak_Load_Without_Embedded_Generation_kW,Average_Load_Factor_Without_Embedded_Generation_Percentage,Primary_Overhead_Circuit_Kilometers_of_Line,Secondary_Overhead_Circuit_Kilometers_of_Line,Total_Overhead_Circuit_Kilometers_of_Line,Primary_Underground_Circuit_Kilometers_of_Line,Secondary_Underground_Circuit_Kilometers_of_Line,Total_Underground_Circuit_Kilometers_of_Line,Total_Primary_Circuit_Kilometers_of_Line,Total_Secondary_Circuit_Kilometers_of_Line,Total_Circuit_Kilometers_of_Line
Chapleau Public Utilities Corporation,2017,13.5,0,13.5,6489,3889,4017,61.9047619047619,6489,3889,4017,61.9047619047619,,,28,,,2,,,30
Chapleau Public Utilities Corporation,2018,13.5,0,13.5,6354,4835,4107,64.6364494806421,6354,4835,4107,64.6364494806421,,,28,,,2,,,30
Chapleau Public Utilities Corporation,2019,13.5,0,13.5,7121,5774,4397,61.7469456537003,7121,5774,4397,61.7469456537003,28,23,51,2,1,3,30,24,54
Chapleau Public Utilities Corporation,2020,13.5,0,13.5,5731,6046,4076,67.4164737016209,5731,6046,4076,67.4164737016209,28,23,51,2,1,3,30,24,54
Chapleau Public Utilities Corporation,2021,13.5,0,13.5,5772,4169,3788,65.6271656271656,5772,4169,3788,65.6271656271656,28,23,51,2,1,3,30,24,54
Cooperative Hydro Embrun Inc.,2015,5,0,5,6635,5776,5579,84.0844009042954,6635,5776,5579,84.0844009042954,,,17,,,19,,,36
Cooperative Hydro Embrun Inc.,2016,5,0,5,6236,6446,5616,87.1237977040025,6236,6446,5616,87.1237977040025,,,16,,,18,0,0,34
Cooperative Hydro Embrun Inc.,2017,5,0,5,6165,6517,5489,84.2258707994476,6165,6517,5489,84.2258707994476,,,18,,,18,0,0,36
Cooperative Hydro Embrun Inc.,2018,5,0,5,6474,6858,5840,85.1560221638962,6474,6858,5840,85.1560221638962,,,18,,,18,,,36
Cooperative Hydro Embrun Inc.,2019,5,0,5,6354,6429,5367,83.481101259916,6354,6429,5367,83.481101259916,18,,18,18,,18,36,0,36
Cooperative Hydro Embrun Inc.,2020,5,0,5,6135,6881,5713,83.0257230053771,6135,6881,5713,83.0257230053771,18,,18,19,,19,37,0,37
Cooperative Hydro Embrun Inc.,2021,5,0,5,5891,7206,5643,78.3097418817652,5891,7206,5643,78.3097418817652,18,0,18,20,0,20,38,0,38
E.L.K. Energy Inc.,2015,22,0,22,50739,59146,45843,77.5082000473405,50739,59146,45843,77.5082000473405,,,89,,,68,,,157
E.L.K. Energy Inc.,2016,22,0,22,46645,60936,47467,77.8964815544178,46645,60936,47467,77.8964815544178,,,89,,,68,,,157
E.L.K. Energy Inc.,2017,22.5,0,22.5,44168,57221,45399,79.3397528879258,44168,57221,45399,79.3397528879258,,,89,,,68,,,157
E.L.K. Energy Inc.,2018,22.5,0,22.5,47848,65612,51085,77.8592330671219,47848,65612,51085,77.8592330671219,,,89,,,73,,,162
E.L.K. Energy Inc.,2019,22.5,0,22.5,50790,62827,48506,77.2056599869483,50790,62827,48506,77.2056599869483,89,0,89,76,0,76,165,0,165
E.L.K. Energy Inc.,2020,22.5,0,22.5,42657,64724,46553,71.92540634077,42657,64724,46553,71.92540634077,89,0,89,79,0,79,168,0,168
E.L.K. Energy Inc.,2021,22.5,0,22.5,46485,72969,49137,67.3395551535584,46485,72969,49137,67.3395551535584,89,,89,79,,79,168,0,168
ENWIN Utilities Ltd.,2015,120,0,120,366300,463400,372933,80.4775571860164,372821,474504,382344,80.577613676597,,,670,,,444,0,0,1114
ENWIN Utilities Ltd.,2016,120,0,120,365600,486400,390250,80.2323190789474,374807,497443,401997,80.8126760251928,,,668,,,448,0,0,1116
ENWIN Utilities Ltd.,2017,121,0,121,345800,464200,377442,81.3102111158983,353211,476537,387905,81.4008146271958,,,2703,,,2074,0,0,4777
ENWIN Utilities Ltd.,2018,121,0,121,362000,488900,398908,81.5929637962774,362123,499249,403095,80.7402718883763,,,2703,,,1965,0,0,4668
ENWIN Utilities Ltd.,2019,121,0,121,381700,454300,375033,82.551837992516,382079,464393,383778,82.6407805457877,678,2022,2700,466,1524,1990,1144,3546,4690
ENWIN Utilities Ltd.,2020,121,0,121,321000,473200,350892,74.1530008453085,337036,488171,368188,75.4219320688857,681,2023,2704,469,1539,2008,1150,3562,4712
ENWIN Utilities Ltd.,2021,121,0,121,302500,436400,338375,77.5378093492209,325442,468394,366201,78.182256817978,682,2017,2699,472,1533,2005,1154,3550,4704
EPCOR Electricity Distribution Ontario Inc.,2015,45,0,45,58082,49771,46852,80.6652663475776,58707,50481,47702,81.2543648968607,,,219,,,135,,,354
EPCOR Electricity Distribution Ontario Inc.,2016,45,0,45,57281,50903,48680,84.9845498507359,58446,52489,49834,85.2650309687575,,,210,,,140,,,350
EPCOR Electricity Distribution Ontario Inc.,2017,45,0,45,51563,47569,45765,88.7555029769408,52841,48824,47013,88.9706856418312,,,211,,,136,,,347
EPCOR Electricity Distribution Ontario Inc.,2018,45,0,45,55379,53565,48744,88.0189241409198,56739,54925,50086,88.274379174818,,,211,,,151,,,362
EPCOR Electricity Distribution Ontario Inc.,2019,45,0,45,56139,50107,47039,83.7902349525285,56140,50661,47335,84.3159957249733,210,,210,161,,161,371,0,371
EPCOR Electricity Distribution Ontario Inc.,2020,45,0,45,53614,56416,48753,86.4169739081112,53614,57070,48994,85.8489574207114,209,,209,167,,167,376,0,376
EPCOR Electricity Distribution Ontario Inc.,2021,45,0,45,53209,56207,49141,87.428612094579,53209,56635,49393,87.2128542420765,210,,210,169,,169,379,0,379
ERTH Power Corporation,2015,65,1830,1895,104241,109042,98216,90.0717154857761,125776,130839,119973,91.6951367711462,,,292,,,121,,,413
ERTH Power Corporation,2016,65,1830,1895,100852,111491,97961,87.8644913042308,119486,133810,119630,89.4028846872431,,,286,,,120,,,406
ERTH Power Corporation,2017,65,1830,1895,108530,106278,96377,88.8021745139593,130556,128532,117864,90.2785011795704,,,286,,,122,,,408
ERTH Power Corporation,2018,65,1830,1895,104331,109941,102382,93.1244940468069,126443,132420,124295,93.8642199063586,,,292,,,121,,,413
ERTH Power Corporation,2019,65,1830,1895,111736,111366,102695,91.9086059998568,147101,134255,126596,86.0605978205451,295,,295,142,,142,437,0,437
ERTH Power Corporation,2020,65,1830,1895,105535,118142,103698,87.7740346362852,125014,141230,122442,86.696877433973,291,,291,152,,152,443,0,443
ERTH Power Corporation,2021,65,1830,1895,106961,113385,99828,88.0433919830665,120172,136773,124236,90.8337171810226,291,,291,162,,162,453,0,453
Elexicon Energy Inc.,2015,326,461,787,579652,652447,544886,83.5142164804191,580394,657134,548702,83.4992558595355,,,1946,,,1386,,,3332
Elexicon Energy Inc.,2016,337,450,787,545666,684688,561442,81.9996845278433,547061,691875,569043,82.2465040650407,,,1955,,,1711,,,3666
Elexicon Energy Inc.,2017,336.82,450.63,787.45,530953,626506,513334,81.9360069975387,536483,641592,525275,81.870565717777,,,1971,,,1767,,,3738
Elexicon Energy Inc.,2018,336.82,450.63,787.45,561289,696639,561023,80.5328154180286,562816,703479,569415,80.9427147079017,,,1949,,,1836,,,3785
Elexicon Energy Inc.,2019,337,451,788,565125,648618,534745,82.4437496338369,567311,656633,537649,81.8796801257323,1967,,1967,1856,,1856,3823,0,3823
Elexicon Energy Inc.,2020,337,451,788,562955,750598,562300,74.9136022211623,563602,756056,565125,74.7464473531061,1935,,1935,1932,,1932,3867,0,3867
Elexicon Energy Inc.,2021,337,451,788,541382,711257,561614,78.9607694546416,541913,720003,564516,78.4046733138612,1949,,1949,1970,,1970,3919,0,3919
Energy Plus Inc.,2015,104,458,562,286719,338779,285071,84.1465970440907,287326,343087,287694,83.8545325238205,,,1193,,,525,,,1718
Energy Plus Inc.,2016,104,458,562,265456,334471,274609,82.1024842213525,270613,347246,285509,82.2209615085559,,,1195,,,532,,,1727
Energy Plus Inc.,2017,104,458,562,250923,305718,256284,83.8301964555571,260570,319434,266652,83.4763988805199,,,980,,,507,,,1487
Energy Plus Inc.,2018,104,458,562,256774,331153,274551,82.9075986024587,256774,338387,278269,82.2339510678602,,,979,,,531,,,1510
Energy Plus Inc.,2019,104,458,562,277499,302619,261474,86.4036957362228,277813,311135,263817,84.7918106288267,983,0,983,540,0,540,1523,0,1523
Energy Plus Inc.,2020,104,458,562,247995,338528,263648,77.8807070611589,247995,346526,266808,76.9950883916358,979,,979,551,,551,1530,0,1530
Energy Plus Inc.,2021,104,458,562,253533,336960,268084,79.559591642925,254406,347847,270843,77.8626810063045,980,0,980,560,0,560,1540,0,1540
Entegrus Powerlines Inc.,2015,129,0,129,183025,232753,182512,78.4144565268761,191819,243253,192182,79.0049865777606,,,820,,,396,,,1216
Entegrus Powerlines Inc.,2016,128.84,0,128.84,186181,254218,190899,75.0926370280625,194256,266099,201770,75.8251628153432,,,820,,,375,,,1195
Entegrus Powerlines Inc.,2017,129.9,0,129.9,178720,228192,184785,80.9778607488431,187835,243243,197491,81.1908256352701,,,836,,,400,,,1236
Entegrus Powerlines Inc.,2018,132,0,132,167556,231782,184558,79.6256827536219,175104,245646,197338,80.3343022072413,,,835,,,408,,,1243
Entegrus Powerlines Inc.,2019,132,0,132,194207,229174,190625,83.1791564488118,199783,247159,201353,81.4669908844104,594,1288,1882,386,815,1201,980,2103,3083
Entegrus Powerlines Inc.,2020,132,0,132,180772,252034,188191,74.6688938793972,186330,267227,197470,73.8959760802614,593,1216,1809,399,835,1234,992,2051,3043
Entegrus Powerlines Inc.,2021,134,0,134,185841,245240,195447,79.6962159517208,191115,259161,205389,79.2515077500087,594,1102,1696,403,1116,1519,997,2218,3215
Espanola Regional Hydro Distribution Corporation,2015,26,76,102,13571,8554,9676,71.2990936555891,13571,8554,9676,71.2990936555891,,,129,,,11,0,0,140
Espanola Regional Hydro Distribution Corporation,2016,26,76,102,12316,8815,9402,76.3397206885352,12316,8815,9402,76.3397206885352,,,129,,,11,0,0,140
Espanola Regional Hydro Distribution Corporation,2017,26,76,102,11586,8125,8908,76.8858967719662,11586,8125,8908,76.8858967719662,,,130,,,11,0,0,141
Espanola Regional Hydro Distribution Corporation,2018,26,83,109,15504,9882,11176,72.0846233230134,15504,9882,11176,72.0846233230134,,,130,,,11,0,0,141
Espanola Regional Hydro Distribution Corporation,2019,26,83,109,16594,9914,11328,68.2656381824756,16601,9920,11399,68.6645382808265,130,,130,11,,11,141,0,141
Espanola Regional Hydro Distribution Corporation,2020,26,83,109,14291,10675,10951,76.6286474004618,14292,10683,10965,76.7212426532326,90,,90,11,,11,101,0,101
Espanola Regional Hydro Distribution Corporation,2021,26,83,109,14056,10133,10786,76.7359134889016,14282,10465,10964,76.7679596695141,90,,90,11,,11,101,0,101
Essex Powerlines Corporation,2015,66,38,104,78040,109044,81985,75.1852463225854,80881,121804,86518,71.030508029293,,,188,,,260,,,448
Essex Powerlines Corporation,2016,66,38,104,73781,119448,85849,71.8714419663787,77694,129367,93150,72.0044524492336,,,186,,,263,,,449
Essex Powerlines Corporation,2017,62,30.8,92.8,73110,109252,80453,73.6398418335591,74955,118783,87052,73.2865814131652,,,190,,,265,,,455
Essex Powerlines Corporation,2018,62,30.8,92.8,74064,126059,89194,70.7557572247916,77295,131760,94644,71.8306010928962,,,188,,,269,,,457
Essex Powerlines Corporation,2019,62,30.8,92.8,74088,120116,85194,70.9264377768158,81221,126191,89888,71.2317043212273,183,428,611,273,732,1005,456,1160,1616
Essex Powerlines Corporation,2020,74.25,18.55,92.8,75038,126420,58747,46.4697041607341,76578,131809,89554,67.9422497705013,181,428,609,274,730,1004,455,1158,1613
Essex Powerlines Corporation,2021,74.25,18.55,92.8,71939,123024,87623,71.2243139550007,76329,129868,91881,70.7495302922968,181,427,608,273,734,1007,454,1161,1615
Festival Hydro Inc.,2015,45,0,45,96322,104538,70043,67.0024297384683,96419,105104,70345,66.9289465672096,,,165,,,95,,,260
Festival Hydro Inc.,2016,45,0,45,93467,107476,70008,65.1382634262533,93467,108369,70307,64.8774095913038,,,165,,,95,,,260
Festival Hydro Inc.,2017,45,0,45,93753,104450,92668,88.7199617041647,93753,105557,93382,88.4659473080895,,,165,,,97,,,262
Festival Hydro Inc.,2018,43.8,0,43.8,96254,108689,96922,89.1736974302827,96254,111693,98647,88.3197693678207,,,166,,,95,,,261
Festival Hydro Inc.,2019,43.42,0,43.42,99067,103142,94289,91.4166876733048,101309,106254,95965,90.3165998456529,165,,165,96,,96,261,0,261
Festival Hydro Inc.,2020,44.12,0,44.12,94353,116734,93153,79.7993729333356,95812,118829,94706,79.6993999781198,166,,166,97,,97,263,0,263
Festival Hydro Inc.,2021,43.42,0,43.42,96904,106448,93041,87.4051179918834,97799,108576,94711,87.2301429413498,166,,166,100,,100,266,0,266
Fort Frances Power Corporation,2015,26,0,26,16796,12502,12354,73.5532269587997,16796,12610,12388,73.7556561085973,,,66,,,10,,,76
Fort Frances Power Corporation,2016,32.2,0,32.2,15953,12674,12105,75.8791449884034,15953,12793,12141,76.1048078731273,,,69,,,11,,,80
Fort Frances Power Corporation,2017,32.2,0,32.2,15025,12240,11968,79.6539101497504,15025,12359,12006,79.9068219633944,,,71,,,10,,,81
Fort Frances Power Corporation,2018,32.2,0,32.2,15430,12548,12273,79.5398574206092,15430,12626,12307,79.7602073882048,,,71,,,10,,,81
Fort Frances Power Corporation,2019,32,0,32,16574,11585,12220,73.7299384578255,16574,11651,12233,73.8083745625679,71,,71,10,,10,81,0,81
Fort Frances Power Corporation,2020,32,0,32,14489,12297,11713,80.8406377251708,14489,12356,11728,80.9441645386155,71,,71,10,,10,81,0,81
Fort Frances Power Corporation,2021,32,0,32,15555,13111,12021,77.2806171648987,15555,13196,12049,77.4606235936998,71,,71,10,,10,81,0,81
Greater Sudbury Hydro Inc.,2015,290,120,410,185132,141509,140150,75.7027418274528,186099,147888,142644,76.6495252526881,,,753,,,248,,,1001
Greater Sudbury Hydro Inc.,2016,290,120,410,171316,140955,142551,83.2093908333139,171799,147687,146787,85.441125966973,,,751,,,250,,,1001
Greater Sudbury Hydro Inc.,2017,290,120,410,163611,128786,133003,81.2922114038787,168072,134834,136293,81.0920319862916,,,754,,,251,,,1005
Greater Sudbury Hydro Inc.,2018,290,120,410,167806,137254,136258,81.1997187228109,174577,143939,140614,80.5455472370358,,,756,,,253,,,1009
Greater Sudbury Hydro Inc.,2019,290,120,410,176843,133162,135940,76.8704444054896,178707,135277,137618,77.0076158180709,762,,762,253,,253,1015,0,1015
Greater Sudbury Hydro Inc.,2020,290,120,410,183537,148031,136714,74.4885227501812,188091,149995,139065,73.9349570154872,759,,759,256,,256,1015,0,1015
Greater Sudbury Hydro Inc.,2021,290,120,410,148673,137295,131627,88.5345691551257,149807,144581,133804,89.3175886307048,761,,761,258,,258,1019,0,1019
Grimsby Power Incorporated,2015,19,50,69,30907,41662,21019,50.4512505400605,30907,41784,21069,50.4236071223435,,,168,,,76,,,244
Grimsby Power Incorporated,2016,19,50,69,29525,43090,35106,81.471339057786,29525,43276,35612,82.2904150106295,,,167,,,79,,,246
Grimsby Power Incorporated,2017,19,50,69,32379,50033,36639,73.2296684188436,35009,52335,37002,70.7022069360848,,,356,,,321,,,677
Grimsby Power Incorporated,2018,19,50,69,38760,55822,42450,76.0452868044857,41828,62118,46193,74.3633085418075,,,357,,,332,,,689
Grimsby Power Incorporated,2019,19,50,69,36109,55347,40541,73.2487759047464,42947,57643,43755,75.9068750758982,167,189,356,84,249,333,251,438,689
Grimsby Power Incorporated,2020,19,50,69,40695,61540,45040,73.1881702957426,43313,64921,47390,72.9964110226275,167,189,356,85,250,335,252,439,691
Grimsby Power Incorporated,2021,19,50,69,44735,58464,45763,78.2755199781062,46040,63552,49837,78.4192472306143,167,188,355,85,253,338,252,441,693
Halton Hills Hydro Inc.,2015,26,255,281,88688,101316,86547,85.4228354850172,88688,103016,87183,84.6305428282985,,,902,,,654,,,1556
Halton Hills Hydro Inc.,2016,25.67,255.11,280.78,82154,107531,87446,81.3216653802159,82154,109349,88305,80.7551966638927,,,912,,,701,,,1613
Halton Hills Hydro Inc.,2017,25.67,253.3,278.97,81647,95399,80762,84.6570718770637,81647,98466,81474,82.7432819450369,,,921,,,724,,,1645
Halton Hills Hydro Inc.,2018,26,255,281,82792,104730,86370,82.4692065310799,82792,108080,87405,80.870651369356,,,912,,,729,,,1641
Halton Hills Hydro Inc.,2019,26,255,281,83054,99439,81867,82.32886493227,83063,102375,82656,80.7384615384615,637,295,932,266,488,754,903,783,1686
Halton Hills Hydro Inc.,2020,25.67,255.11,280.78,82464,111082,85958,77.3824742082426,82464,113233,87022,76.8521544072841,624,288,912,266,493,759,890,781,1671
Halton Hills Hydro Inc.,2021,26,255,281,78898,108052,84567,78.2650945840891,79223,110959,85800,77.3258591011094,631,296,927,268,496,764,899,792,1691
Hearst Power Distribution Company Limited,2015,93,0,93,16408,14866,13706,83.5324232081911,16408,14868,13770,83.9224768405656,,,57,,,11,,,68
Hearst Power Distribution Company Limited,2016,93,0,93,16159,12377,13350,82.6164985457021,16159,12377,13556,83.891329909029,,,57,,,11,,,68
Hearst Power Distribution Company Limited,2017,93,0,93,15428,11797,12798,82.9530723360124,15428,13534,13230,85.7531760435572,,,71,,,16,,,87
Hearst Power Distribution Company Limited,2018,93,0,93,14732,16856,12740,75.5813953488372,14732,16856,13222,78.4409112482202,,,81,,,16,,,97
Hearst Power Distribution Company Limited,2019,93,0,93,15777,12972,13296,84.2745769157635,15777,13433,13473,85.3964632059327,64,17,81,7,9,16,71,26,97
Hearst Power Distribution Company Limited,2020,93,0,93,14909,12667,12597,84.4925883694413,14909,12667,12890,86.4578442551479,64,17,81,7,9,16,71,26,97
Hearst Power Distribution Company Limited,2021,93,0,93,14926,11736,12541,84.0211711108133,15025,13267,13099,87.1813643926789,64,17,81,7,9,16,71,26,97
